Date,Open,High,Low,Close,Adj Close,Volume
2012-04-25,20025.640625,26100.0,26300.0,25860.0,26080.0,13821600
2012-04-26,20562.724609375,26800.0,26800.0,26340.0,26400.0,16479500
2012-04-27,21084.46484375,27480.0,27660.0,27020.0,27100.0,15905350
2012-04-30,21329.99609375,27800.0,28180.0,27540.0,27900.0,15757100
2012-05-02,21636.90234375,28200.0,28360.0,27980.0,28200.0,18420750
2012-05-03,21498.7890625,28020.0,28200.0,27960.0,28040.0,10327050
2012-05-04,20869.630859375,27200.0,27960.0,26980.0,27500.0,20484300
2012-05-07,20593.4140625,26840.0,27060.0,26500.0,26840.0,18908450
2012-05-08,20578.07421875,26820.0,27040.0,26780.0,26960.0,12048600
2012-05-09,20424.623046875,26620.0,26960.0,26480.0,26700.0,12661700
2012-05-10,20363.23828125,26540.0,26720.0,26440.0,26580.0,13145000
2012-05-11,19994.947265625,26060.0,26460.0,26060.0,26300.0,13626400
2012-05-14,20163.75,26280.0,26540.0,26080.0,26100.0,15092100
2012-05-15,20117.712890625,26220.0,26400.0,26000.0,26080.0,15558100
2012-05-16,18874.740234375,24600.0,26000.0,24560.0,25960.0,38488900
2012-05-17,18767.326171875,24460.0,24860.0,24020.0,24600.0,33041100
2012-05-18,17892.642578125,23320.0,24100.0,23300.0,24080.0,30023750
2012-05-21,18552.48828125,24180.0,24320.0,23800.0,23880.0,23702750
2012-05-22,19028.193359375,24800.0,25100.0,24540.0,25100.0,23830550
2012-05-23,18736.640625,24420.0,24800.0,23900.0,24800.0,16157100
2012-05-24,18798.009765625,24500.0,24500.0,23960.0,24260.0,15251250
2012-05-25,18798.009765625,24500.0,24920.0,24460.0,24660.0,10164250
2012-05-29,18997.50390625,24760.0,24760.0,24120.0,24240.0,10815350
2012-05-30,18813.36328125,24520.0,24800.0,24300.0,24760.0,12653250
2012-05-31,18583.181640625,24220.0,24260.0,23840.0,24260.0,22106900
2012-06-01,18920.7734375,24660.0,24740.0,23980.0,24260.0,13554450
2012-06-04,18352.998046875,23920.0,24100.0,23840.0,23960.0,18068750
2012-06-05,18460.427734375,24060.0,24180.0,23860.0,24020.0,12848900
2012-06-07,19411.828125,25300.0,25300.0,24660.0,24780.0,20928350
2012-06-08,19135.61328125,24940.0,25500.0,24900.0,25500.0,9956350
2012-06-11,19457.86328125,25360.0,25500.0,25320.0,25440.0,9906200
2012-06-12,19258.375,25100.0,25200.0,24900.0,24920.0,8805200
2012-06-13,19503.900390625,25420.0,25480.0,25120.0,25320.0,9572600
2012-06-14,19350.44921875,25220.0,25420.0,25120.0,25380.0,21995050
2012-06-15,18675.25390625,24340.0,25200.0,24280.0,25000.0,30404200
2012-06-18,19074.23046875,24860.0,25140.0,24680.0,24800.0,17608150
2012-06-19,19089.572265625,24880.0,24940.0,24440.0,24900.0,14839400
2012-06-20,19212.33984375,25040.0,25300.0,24900.0,24980.0,13237700
2012-06-21,18828.705078125,24540.0,24840.0,24520.0,24680.0,12753750
2012-06-22,18138.166015625,23640.0,24040.0,23600.0,23780.0,31294350
2012-06-25,17370.89453125,22640.0,23560.0,22560.0,23420.0,41318100
2012-06-26,17478.3203125,22780.0,22980.0,22580.0,22660.0,25283500
2012-06-27,17907.98828125,23340.0,23540.0,22600.0,22800.0,23542000
2012-06-28,17931.017578125,23360.0,23600.0,23060.0,23340.0,10398350
2012-06-29,18437.62109375,24020.0,24020.0,23060.0,23340.0,18604450
2012-07-02,18023.126953125,23480.0,24180.0,23420.0,24160.0,19106750
2012-07-03,18038.474609375,23500.0,23860.0,23400.0,23640.0,15801550
2012-07-04,18284.109375,23820.0,23940.0,23560.0,23640.0,19158750
2012-07-05,18191.990234375,23700.0,23880.0,23540.0,23740.0,9068550
2012-07-06,17823.544921875,23220.0,23880.0,23060.0,23880.0,21158900
2012-07-09,17286.232421875,22520.0,22760.0,22520.0,22700.0,21282300
2012-07-10,17301.587890625,22540.0,22840.0,22420.0,22700.0,17720700
2012-07-11,17163.4140625,22360.0,22660.0,22160.0,22580.0,18001300
2012-07-12,16748.919921875,21820.0,22520.0,21820.0,22420.0,24858600
2012-07-13,17485.810546875,22780.0,22880.0,21820.0,21920.0,27070750
2012-07-16,17685.38671875,23040.0,23100.0,22660.0,22900.0,15261950
2012-07-17,17931.017578125,23360.0,23560.0,22720.0,22960.0,15885300
2012-07-18,17716.083984375,23080.0,23700.0,22760.0,23580.0,14618050
2012-07-19,18345.513671875,23900.0,24040.0,23440.0,23600.0,24847100
2012-07-20,18284.109375,23820.0,24060.0,23820.0,24040.0,11992100
2012-07-23,17838.904296875,23240.0,23400.0,23100.0,23300.0,12844350
2012-07-24,17961.716796875,23400.0,23500.0,23180.0,23300.0,14598050
2012-07-25,17777.5,23160.0,23440.0,22780.0,23060.0,13609850
2012-07-26,17992.41796875,23440.0,23480.0,23200.0,23380.0,13654750
2012-07-27,18928.888671875,24660.0,24660.0,23820.0,23900.0,26686200
2012-07-30,19573.671875,25500.0,25560.0,25020.0,25200.0,19113350
2012-07-31,20095.6328125,26180.0,26680.0,25500.0,25600.0,33735650
2012-08-01,19957.466796875,26000.0,26300.0,25660.0,25840.0,19039100
2012-08-02,19389.4453125,25260.0,26080.0,25220.0,26000.0,15951250
2012-08-03,19082.40234375,24860.0,25340.0,24760.0,24800.0,15582650
2012-08-06,19926.763671875,25960.0,26100.0,25640.0,25700.0,12289150
2012-08-07,19865.349609375,25880.0,26080.0,25680.0,26060.0,10258400
2012-08-08,20264.50390625,26400.0,26560.0,26020.0,26120.0,19459150
2012-08-09,20571.5390625,26800.0,26960.0,26360.0,26420.0,30612650
2012-08-10,20694.359375,26960.0,26960.0,26600.0,26700.0,14733250
2012-08-13,20341.26171875,26500.0,26940.0,26460.0,26840.0,9891050
2012-08-14,20648.3046875,26900.0,27000.0,26520.0,26520.0,14396850
2012-08-16,20648.3046875,26900.0,27100.0,26760.0,27080.0,14824150
2012-08-17,19880.701171875,25900.0,26900.0,25720.0,26880.0,27642800
2012-08-20,19696.48046875,25660.0,25660.0,25100.0,25400.0,19944800
2012-08-21,19681.125,25640.0,26040.0,25640.0,25840.0,15315200
2012-08-22,19404.796875,25280.0,25620.0,25140.0,25380.0,16031200
2012-08-23,19757.892578125,25740.0,25740.0,24980.0,25220.0,13857750
2012-08-24,19573.671875,25500.0,25740.0,25280.0,25400.0,14077200
